ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2020","2020","4","Administrative and secretarial occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","4","Administrative and secretarial occupations","702","Social Care","Number","21"
"HGO16C01","Number of Health Graduates","2020","2020","4","Administrative and secretarial occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","4","Administrative and secretarial occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","4","Administrative and secretarial occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","702","Social Care","Number","6"
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","5","Skilled trades occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","30","Nursing and Midwifery","Number","9"
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","702","Social Care","Number","492"
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","701","Social Work","Number","9"
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","10","Speech and Language Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","6","Caring, leisure and other service occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","702","Social Care","Number","24"
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","7","Sales and customer service occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","8","Process, plant and machine operatives","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","702","Social Care","Number","15"
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","9","Elementary occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","401","Medical Science","Number","60"
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","60","Pharmacy","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","702","Social Care","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","21","Science, research, engineering and technology professionals","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","702","Social Care","Number","6"
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","23","Teaching and educational professionals","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","60","Pharmacy","Number","3"
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","702","Social Care","Number","39"
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","701","Social Work","Number","123"
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","24","Business, media and public service professionals","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","202","Medicine","Number","261"
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2211","Medical practitioners","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2212","Psychologists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","60","Pharmacy","Number","111"
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2213","Pharmacists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2214","Ophthalmic opticians","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","201","Dentistry","Number","30"
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2215","Dental practitioners","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2216","Veterinarians","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","402","Radiography and Radiation Therapy","Number","72"
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2217","Medical radiographers","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2218","Podiatrists","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2219","Health professionals n.e.c.","V52","Dietetics, Optometry and Podiatry","Number","39"
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","504","Physiotherapy","Number","123"
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2221","Physiotherapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","501","Occupational Therapy","Number","66"
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2222","Occupational therapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","10","Speech and Language Therapy","Number","90"
"HGO16C01","Number of Health Graduates","2020","2020","2223","Speech and language therapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","2229","Therapy professionals n.e.c.","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","30","Nursing and Midwifery","Number","981"
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2020","2020","X13","Nurses and midwives","702","Social Care","Number","3"
